CLIENTE,MES,ANIO,MONTO,Tipo_Moneda,Tipo_Cambio,,,,,,,,,,,,,,,,,,,,,,
DECOPLAS,1,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
DECOPLAS,2,2022," $3,440,974.39 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
DECOPLAS,3,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
DECOPLAS,4,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
DECOPLAS,5,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
DECOPLAS,6,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
DECOPLAS,7,2022," $906,493.50 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
DECOPLAS,8,2022," $466,346.92 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
DECOPLAS,9,2022," $908,621.60 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
DECOPLAS,10,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
DECOPLAS,11,2022," $1,068,686.64 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
DECOPLAS,12,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
ACPS,1,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
ACPS,2,2022," $185,503.72 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
ACPS,3,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
ACPS,4,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
ACPS,5,2022," $1,905,680.29 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
ACPS,6,2022," $21,676.00 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
ACPS,7,2022," $8,900.00 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
ACPS,8,2022," $151,225.00 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
ACPS,9,2022," $35,260.58 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
ACPS,10,2022," $1,971,941.77 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
ACPS,11,2022," $1,125,826.04 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
ACPS,12,2022," $101,729.80 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
EATON,1,2022," $169,573.32 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
EATON,2,2022," $530,986.16 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
EATON,3,2022," $40,351.70 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
EATON,4,2022," $1,493,136.14 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
EATON,5,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
