Cliente,Mes,Anio,Monto,Tipo_moneda,Tipo_cambio,,
DECOPLAS,1,2023, $-   ,MXN,1,,
DECOPLAS,2,2023," $21,180,557.00 ",MXN,1,,
DECOPLAS,3,2023," $438,261.48 ",MXN,1,,
DECOPLAS,4,2023, $-   ,MXN,1,,
DECOPLAS,5,2023," $5,131,705.86 ",MXN,1,,
DECOPLAS,6,2023," $3,157,959.41 ",MXN,1,,
DECOPLAS,7,2023, $-   ,MXN,1,,
ACPS,1,2023," $484,184.97 ",MXN,1,,
ACPS,2,2023, $-   ,MXN,1,,
ACPS,3,2023," $2,621,779.07 ",MXN,1,,
ACPS,4,2023," $1,202,647.24 ",MXN,1,,
ACPS,5,2023," $965,651.79 ",MXN,1,,
ACPS,6,2023, $-   ,MXN,1,,
ACPS,7,2023," $16,775.03 ",MXN,1,,
SHAPE,1,2023," $165,768.20 ",MXN,1,,
SHAPE,2,2023," $193,829.68 ",MXN,1,,
SHAPE,3,2023," $3,576,138.96 ",MXN,1,,
SHAPE,4,2023," $76,470.77 ",MXN,1,,
SHAPE,5,2023," $143,878.00 ",MXN,1,,
SHAPE,6,2023," $27,136.00 ",MXN,1,,
SHAPE,7,2023, $-   ,MXN,1,,
EATON,1,2023," $14,590.00 ",MXN,1,,
EATON,2,2023," $31,284.60 ",MXN,1,,
EATON,3,2023," $2,146,758.48 ",MXN,1,,
EATON,4,2023, $-   ,MXN,1,,
EATON,5,2023," $102,680.00 ",MXN,1,,
EATON,6,2023," $246,420.00 ",MXN,1,,
EATON,7,2023, $-   ,MXN,1,,
TOYOTETSU,1,2023, $-   ,MXN,1,,
TOYOTETSU,2,2023, $-   ,MXN,1,,
TOYOTETSU,3,2023," $264,315.47 ",MXN,1,,
TOYOTETSU,4,2023," $1,827,774.08 ",MXN,1,,
TOYOTETSU,5,2023, $-   ,MXN,1,,
TOYOTETSU,6,2023, $-   ,MXN,1,,
TOYOTETSU,7,2023, $-   ,MXN,1,,
DANA,1,2023," $10,000.00 ",MXN,1,,
DANA,2,2023," $1,680,559.57 ",MXN,1,,
DANA,3,2023," $7,418.25 ",MXN,1,,
DANA,4,2023," $9,535.00 ",MXN,1,,
DANA,5,2023," $16,435.00 ",MXN,1,,
DANA,6,2023, $-   ,MXN,1,,
DANA,7,2023, $-   ,MXN,1,,
NASG,1,2023, $-   ,MXN,1,,
NASG,2,2023," $93,375.18 ",MXN,1,,
NASG,3,2023," $128,652.61 ",MXN,1,,
NASG,4,2023," $79,695.00 ",MXN,1,,
NASG,5,2023," $322,746.15 ",MXN,1,,
NASG,6,2023, $-   ,MXN,1,,
NASG,7,2023, $-   ,MXN,1,,
KTMEX,1,2023," $96,781.20 ",MXN,1,,
KTMEX,2,2023," $174,674.00 ",MXN,1,,
KTMEX,3,2023," $67,664.50 ",MXN,1,,
KTMEX,4,2023," $40,450.00 ",MXN,1,,
KTMEX,5,2023," $24,485.11 ",MXN,1,,
KTMEX,6,2023," $9,424.04 ",MXN,1,,
KTMEX,7,2023," $2,750.00 ",MXN,1,,
IRUÑA,1,2023," $392,700.00 ",MXN,1,,
IRUÑA,2,2023, $-   ,MXN,1,,
IRUÑA,3,2023, $-   ,MXN,1,,
IRUÑA,4,2023, $-   ,MXN,1,,
IRUÑA,5,2023, $-   ,MXN,1,,
IRUÑA,6,2023, $-   ,MXN,1,,
IRUÑA,7,2023, $-   ,MXN,1,,
META TOOL,1,2023," $73,148.52 ",MXN,1,,
META TOOL,2,2023," $51,494.34 ",MXN,1,,
META TOOL,3,2023," $189,705.73 ",MXN,1,,
META TOOL,4,2023, $-   ,MXN,1,,
META TOOL,5,2023, $-   ,MXN,1,,
META TOOL,6,2023," $21,412.46 ",MXN,1,,
META TOOL,7,2023, $-   ,MXN,1,,
NEO,1,2023," $73,185.00 ",MXN,1,,
NEO,2,2023," $24,611.00 ",MXN,1,,
NEO,3,2023, $-   ,MXN,1,,
NEO,4,2023, $-   ,MXN,1,,
NEO,5,2023," $10,385.00 ",MXN,1,,
NEO,6,2023," $216,410.88 ",MXN,1,,
NEO,7,2023, $-   ,MXN,1,,
BATESVILLE,1,2023," $36,855.00 ",MXN,1,,
BATESVILLE,2,2023," $259,920.00 ",MXN,1,,
BATESVILLE,3,2023, $-   ,MXN,1,,
BATESVILLE,4,2023," $9,000.00 ",MXN,1,,
BATESVILLE,5,2023, $-   ,MXN,1,,
BATESVILLE,6,2023, $-   ,MXN,1,,
BATESVILLE,7,2023, $-   ,MXN,1,,
MAGNA,1,2023," $87,239.85 ",MXN,1,,
MAGNA,2,2023," $11,880.00 ",MXN,1,,
MAGNA,3,2023," $117,440.00 ",MXN,1,,
MAGNA,4,2023, $-   ,MXN,1,,
MAGNA,5,2023, $-   ,MXN,1,,
MAGNA,6,2023, $-   ,MXN,1,,
MAGNA,7,2023, $-   ,MXN,1,,
KH,1,2023, $-   ,MXN,1,,
KH,2,2023," $72,100.00 ",MXN,1,,
KH,3,2023, $-   ,MXN,1,,
KH,4,2023," $11,658.35 ",MXN,1,,
KH,5,2023," $9,100.00 ",MXN,1,,
KH,6,2023, $-   ,MXN,1,,
KH,7,2023, $-   ,MXN,1,,
LAMTEC,1,2023," $20,610.00 ",MXN,1,,
LAMTEC,2,2023, $-   ,MXN,1,,
LAMTEC,3,2023, $-   ,MXN,1,,
LAMTEC,4,2023, $-   ,MXN,1,,
LAMTEC,5,2023,,MXN,1,,
LAMTEC,6,2023, $-   ,MXN,1,,
LAMTEC,7,2023," $68,970.88 ",MXN,1,,
NOVA,1,2023, $-   ,MXN,1,,
NOVA,2,2023," $67,672.80 ",MXN,1,,
NOVA,3,2023, $-   ,MXN,1,,
NOVA,4,2023, $-   ,MXN,1,,
NOVA,5,2023, $-   ,MXN,1,,
NOVA,6,2023, $-   ,MXN,1,,
NOVA,7,2023, $-   ,MXN,1,,
GUALA,1,2023, $-   ,MXN,1,,
GUALA,2,2023," $49,876.00 ",MXN,1,,
GUALA,3,2023, $-   ,MXN,1,,
GUALA,4,2023, $-   ,MXN,1,,
GUALA,5,2023, $-   ,MXN,1,,
GUALA,6,2023, $-   ,MXN,1,,
GUALA,7,2023, $-   ,MXN,1,,
SOLUTO,1,2023, $-   ,MXN,1,,
SOLUTO,2,2023, $-   ,MXN,1,,
SOLUTO,3,2023," $27,800.00 ",MXN,1,,
SOLUTO,4,2023, $-   ,MXN,1,,
SOLUTO,5,2023," $12,600.00 ",MXN,1,,
SOLUTO,6,2023, $-   ,MXN,1,,
SOLUTO,7,2023, $-   ,MXN,1,,
MAGNA CELAYA,1,2023," $30,940.00 ",MXN,1,,
MAGNA CELAYA,2,2023," $6,090.00 ",MXN,1,,
MAGNA CELAYA,3,2023, $-   ,MXN,1,,
MAGNA CELAYA,4,2023, $-   ,MXN,1,,
MAGNA CELAYA,5,2023, $-   ,MXN,1,,
MAGNA CELAYA,6,2023, $-   ,MXN,1,,
MAGNA CELAYA,7,2023, $-   ,MXN,1,,
RIEKE,1,2023," $23,310.00 ",MXN,1,,
RIEKE,2,2023, $-   ,MXN,1,,
RIEKE,3,2023, $-   ,MXN,1,,
RIEKE,4,2023, $-   ,MXN,1,,
RIEKE,5,2023, $-   ,MXN,1,,
RIEKE,6,2023, $-   ,MXN,1,,
RIEKE,7,2023, $-   ,MXN,1,,
